GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-Value	P-adj
rna-PA5227.1	260801.677454578	1.66320498909383	0.0867987846781176	19.1616160901517	7.74313242003114e-82	4.30070366943898e-80
gene-PA5230	780.399500042045	2.288240346212	0.120058894738134	19.0593154401678	5.49895733973791e-81	3.01788015907045e-79
gene-PA3952	1053.19774455022	-2.37111441913528	0.124839489525977	-18.9933043473546	1.93744767088169e-80	1.05078044267819e-78
gene-PA5271	1781.8111748995	2.93348734043013	0.154614892352482	18.9728640999377	2.85896959372602e-80	1.53254067756709e-78
gene-PA4738	13091.3081460389	4.13025934431819	0.217874987754122	18.9570146940378	3.86466668102661e-80	2.04782912638306e-78
gene-PA0624	349.16768954349	3.15524051244811	0.166472553574361	18.9535178304255	4.13027043615154e-80	2.16369848984757e-78
gene-PA1286	292.241994363772	-4.60771206738353	0.243300528727726	-18.9383561617326	5.50904213679958e-80	2.85356002816248e-78
gene-PA5267	469.876526074098	3.24215586782123	0.171679151727926	18.8849713852229	1.51620105430152e-79	7.7663187337e-78
rna-PA4524.1	1350.49293557992	2.00341090849272	0.106264360866663	18.853083876414	2.77201574684456e-79	1.40428490032455e-77
gene-PA4356	800.161474129091	1.94907649289192	0.104016764028803	18.7380996812419	2.42121418179421e-78	1.21323884544253e-76
gene-PA3431	541.830273857274	2.25798396037316	0.120588203176149	18.724750024468	3.11128528909328e-78	1.54226077233548e-76
gene-PA4487	847.182941802105	2.12631576893641	0.113829016687786	18.6799098402875	7.21408880006666e-78	3.53797333705397e-76
gene-PA5172	6349.86174209828	2.29583817106739	0.12324127912973	18.6288083609606	1.87655942877395e-77	9.10625154383991e-76
gene-PA4415	1962.70422463527	2.01099181545438	0.108077841000954	18.6068836759668	2.8258277662415e-77	1.35698604191389e-75
gene-PA4500	1526.47469244524	1.8842909031812	0.101528420884262	18.5592456454062	6.86619998931288e-77	3.26321463409612e-75
gene-PA5469	321.257962671666	-2.93490259717178	0.158506403460968	-18.5159875758236	1.5345656562585e-76	7.21872211770578e-75
gene-PA3582	1777.00204084477	2.14870268916131	0.116588182024961	18.429849851345	7.56928456689205e-76	3.5246870558962e-74
gene-PA0376	29835.4809514448	-1.81207260895971	0.0983906268086395	-18.4171263842441	9.5753855399728e-76	4.41425273392746e-74
gene-PA0625	879.53694332876	2.35680730843914	0.128121434872541	18.3951054777349	1.43780765938537e-75	6.56266664333324e-74
gene-PA4407	8648.83523535934	2.13005610809758	0.11595475890998	18.3697170182659	2.2960578395211e-75	1.03772810197963e-73
rna-PA4726.11	11540.2501129752	2.53551918201699	0.138339633646399	18.3282195794871	4.92772385133869e-75	2.20551523831761e-73
gene-PA0530	747.773887182752	2.0564984247282	0.112313750801039	18.3102995854108	6.84919188105731e-75	3.03603601650714e-73
gene-PA5482	2214.1750288479	3.32674876802969	0.182252082098126	18.2535569949677	1.93865610358586e-74	8.51162346431508e-73
gene-PA4651	264.597408131426	3.25950748098278	0.178766668986958	18.2333065747317	2.80817723637002e-74	1.22129217544017e-72
gene-PA3981	1343.78081493439	1.85771132229637	0.102419078122414	18.1383327828434	1.58775023718794e-73	6.84068092844524e-72
gene-PA4648	356.652301244326	3.10177378894833	0.171038047565873	18.1349929626256	1.68720667575952e-73	7.20187294004759e-72
gene-PA5053	1098.29497970897	-2.61917577233287	0.144481685040966	-18.1280815737319	1.91318101241902e-73	8.09152703417586e-72
gene-PA4825	592.503976749271	-2.59899799941215	0.143594703627269	-18.0995394242285	3.21343560376749e-73	1.34672164848801e-71
gene-PA4463	28751.3817607949	2.23864472520666	0.123872859141684	18.0721163676873	5.28470325043462e-73	2.19481819680213e-71
gene-PA3415	891.171614367056	2.46056933593367	0.136848133670964	17.9802915094906	2.78027012623266e-72	1.14437904302969e-70
gene-PA1285	501.733047617604	-2.4598944021294	0.137617095733547	-17.8749187302443	1.84944622114487e-71	7.54508591104233e-70
gene-PA1947	1226.18594299778	-2.77331034133522	0.155296998937048	-17.8581064690079	2.49976797874959e-71	1.01087108614347e-69
gene-PA5245	2823.90572098883	1.57170223012036	0.0881258076008864	17.8347554809195	3.79707132739892e-71	1.52213033211383e-69
gene-PA0634	334.96190550278	2.79091741203018	0.156543040642159	17.8284349184831	4.25156878374054e-71	1.68963207698654e-69
gene-PA4198	938.622173171715	-2.69451929251946	0.151580735843956	-17.7761328147484	1.08190084505055e-70	4.26287426981457e-69
